ID,Name,ORG,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,IP Clean
60565,Pat Larsen,Minnesota Twins,18,0,2,0,24.2,111,103,31,21,5,1,4,18,15,8,0,21,0,0,0,1,1,0,3,17,8,412,24,25,4,0,24.666666666666664
62631,Mike Martin,Cleveland Guardians,6,0,3,0,25.2,111,95,21,17,3,0,1,7,7,14,0,25,1,0,1,0,0,0,2,1,0,430,21,28,1,1,25.666666666666664
64479,Mike Harvey,Kansas City Royals,35,0,2,1,25.0,110,92,21,13,7,0,1,7,7,13,0,29,3,0,2,1,1,0,2,26,10,422,20,24,2,0,25.0
62841,Jerry Hazelbaker,Arizona Diamondbacks,19,0,0,0,26.0,110,104,31,12,11,3,5,20,20,5,0,18,0,0,1,1,0,0,2,16,7,399,27,29,0,2,26.0
66445,Edgar Jacquez,Colorado Rockies,15,0,0,0,23.2,108,93,24,13,6,1,4,17,14,12,0,23,2,0,1,0,0,0,2,14,6,420,19,26,0,0,23.666666666666664
59140,Jeremy Rutherford,St. Louis Cardinals,12,0,1,1,22.0,106,85,24,12,7,0,5,16,15,17,0,21,3,0,1,0,0,0,3,5,0,415,20,20,3,2,22.0
59320,Dan Winters,San Diego Padres,16,0,0,1,22.0,106,90,30,20,3,0,7,19,19,10,0,20,2,0,4,2,0,0,1,18,10,412,21,22,0,1,22.0
59996,Chad Moline,St. Louis Cardinals,16,0,3,2,21.1,105,93,33,21,7,0,5,18,17,11,0,25,1,0,0,2,1,0,3,15,9,426,17,18,0,0,21.33333333333334
56311,Yoshisada Watanabe,Boston Red Sox,15,0,0,1,22.1,104,92,27,19,7,1,0,14,13,9,0,19,1,0,2,0,0,0,3,8,0,413,20,25,3,0,22.33333333333334
51715,Jeff Haworth,-,27,0,4,2,25.1,103,92,21,12,5,1,3,8,8,9,4,18,0,0,2,0,0,0,3,15,6,370,32,23,3,0,25.33333333333334
62554,Jeremy Hayes,Boston Red Sox,6,0,2,2,24.2,102,93,19,10,5,0,4,13,12,7,1,24,2,0,0,2,0,0,2,1,0,369,24,24,2,0,24.666666666666664
